field,query
planets,57
people,63
people,41
people,44
people,71
planets,34
planets,4
people,40
people,69
people,75
people,63
people,60
planets,11
people,80
people,5
people,44
people,46
planets,26
people,36
planets,27
people,54
people,33
people,53
planets,25
people,10
people,31
people,32
people,60
people,15
planets,29
people,48
planets,27
people,4
people,26
people,18
people,18
people,51
people,8
planets,38
planets,52
people,25
planets,29
people,65
planets,2
planets,24
people,18
planets,29
planets,32
people,31
people,3
planets,18
people,71
people,72
people,36
people,66
planets,49
people,41
species,2
planets,43
planets,37
species,1
people,39
people,5
people,49
people,64
people,4
planets,57
people,9
planets,11
people,44
people,21
people,10
people,67
people,81
people,2
people,9
people,1
planets,34
planets,27
people,59
planets,57
people,7
planets,19
people,6
planets,48
planets,2
planets,26
planets,38
people,10
people,38
species,3
people,79
planets,5
people,10
planets,54
planets,52
planets,35
people,56
planets,2
planets,51
people,42
people,41
people,31
planets,30
people,28
planets,34
people,50
planets,26
planets,19
planets,29
planets,26
people,81
people,1
planets,58
people,7
planets,38
people,32
people,52
people,80
people,59
planets,15
planets,14
planets,20
people,2
people,79
planets,38
people,18
planets,43
people,75
people,31
planets,2
people,61
planets,45
people,79
planets,40
people,6
planets,13
people,77
people,62
planets,12
people,44
planets,20
people,66
people,39
planets,54
planets,39
planets,54
planets,57
planets,13
people,32
planets,42
planets,21
planets,23
people,36
people,69
planets,44
people,7
planets,27
species,4
planets,31
people,25
people,52
people,35
people,16
people,18
people,6
planets,16
people,45
people,40
people,53
people,19
people,4
people,65
people,67
species,1
people,62
planets,49
people,67
planets,6
people,58
planets,8
people,43
planets,37
people,36
planets,44
planets,4
people,70
planets,31
planets,45
people,61
people,66
people,14
people,48
planets,53
people,29
people,31
planets,24
people,70
planets,10
people,29
people,53
people,1
planets,12
people,2
planets,31
people,47
species,1
people,34
people,36
people,63
people,51
people,69
people,78
people,67
people,61
people,34
people,21
planets,8
planets,21
people,28
people,1
planets,24
people,18
people,56
people,66
planets,58
people,5
people,75
planets,53
planets,59
people,76
people,73
species,3
people,30
people,80
people,12
people,60
planets,53
planets,39
planets,37
planets,12
people,28
planets,17
planets,2
people,2
people,52
planets,47
planets,12
people,4
planets,49
planets,47
planets,29
people,30
people,72
people,15
people,45
planets,52
planets,15
planets,23
species,1
people,31
people,30
planets,44
people,26
planets,41
species,4
planets,52
people,75
people,18
planets,39
planets,16
people,35
people,29
people,81
people,63
people,69
people,18
planets,11
people,27
planets,17
people,33
planets,54
planets,2
species,1
people,42
people,3
people,75
people,65
people,27
planets,50
people,13
people,47
people,58
people,26
planets,5
planets,27
people,76
people,69
people,64
people,53
planets,26
people,69
people,6
people,61
people,10
people,54
species,4
people,25
people,68
people,54
people,44
people,24
people,34
people,4
planets,24
people,36
people,75
planets,22
people,20
people,69
planets,9
people,39
planets,44
planets,11
planets,2
people,15
people,72
planets,25
people,56
people,5
planets,33
people,24
people,38
people,13
planets,53
planets,37
people,26
people,7
planets,25
people,47
planets,13
planets,53
people,72
planets,1
people,25
planets,44
people,51
people,13
planets,38
planets,7
people,71
planets,55
planets,59
planets,24
people,37
planets,26
planets,22
planets,50
people,21
people,75
species,4
people,81
people,5
planets,44
planets,58
planets,16
people,21
planets,1
people,34
people,20
people,12
planets,60
planets,55
people,37
planets,15
planets,46
planets,56
people,52
people,10
planets,7
planets,10
planets,18
planets,50
planets,41
people,3
planets,36
planets,41
people,27
planets,1
people,20
planets,60
species,1
people,37
planets,15
planets,18
planets,27
planets,33
people,1
people,15
planets,39
planets,11
planets,36
people,28
people,51
people,1
planets,56
people,52
people,7
planets,49
people,39
people,80
people,8
planets,13
planets,48
planets,21
planets,34
planets,51
people,77
planets,47
people,44
people,3
people,70
planets,17
planets,38
species,4
planets,37
planets,1
planets,28
planets,54
people,4
people,18
people,76
people,30
people,56
people,6
people,56
people,67
people,42
people,11
people,82
people,54
planets,21
planets,27
people,57
planets,38
people,16
planets,58
planets,34
species,3
people,21
people,23
people,83
people,45
planets,26
planets,52
planets,37
people,24
planets,27
planets,50
people,45
people,60
planets,25
planets,20
people,7
planets,48
planets,20
people,6
people,28
planets,22
planets,53
planets,38
planets,21
species,2
planets,2
people,70
people,9
people,76
people,60
planets,21
planets,54
planets,14
people,59
people,81
people,63
planets,17
species,2
people,28
people,14
planets,50
people,59
planets,41
people,79
people,9
planets,39
people,76
people,67
planets,52
people,74
people,78
people,1
planets,60
planets,33
people,48
people,83
planets,25
people,15
planets,46
planets,7
people,49
people,58
people,6
people,78
people,19
planets,60
people,49
people,36
planets,44
people,20
people,18
planets,5
people,38
people,36
planets,52
planets,6
people,49
people,13
people,35
people,81
people,49
planets,46
people,32
people,36
planets,48
people,45
people,11
planets,56
planets,29
planets,9
people,39
people,26
species,3
people,3
people,71
people,24
people,80
people,70
planets,19
planets,34
people,10
planets,1
planets,37
planets,43
planets,6
people,16
people,23
planets,28
people,52
species,1
planets,21
people,70
people,62
people,82
people,13
planets,51
people,67
planets,11
planets,19
planets,52
planets,5
people,18
planets,14
people,9
people,66
planets,8
people,30
people,26
people,83
people,39
planets,35
planets,60
people,69
people,5
planets,57
people,47
people,64
people,2
planets,50
people,63
planets,14
planets,6
people,34
planets,39
planets,14
planets,52
people,55
planets,34
planets,39
people,76
planets,28
people,5
planets,8
people,18
planets,53
people,80
people,9
people,23
planets,8
planets,32
people,82
planets,17
people,58
people,13
people,21
planets,29
planets,51
planets,47
planets,33
people,41
planets,42
people,60
people,19
people,29
people,34
people,47
planets,8
people,78
planets,43
planets,20
people,14
planets,10
planets,32
planets,3
planets,22
people,55
planets,60
people,66
people,71
planets,59
people,81
people,68
planets,1
people,6
people,27
people,4
people,45
planets,12
people,22
planets,19
people,81
people,78
planets,46
people,81
people,72
planets,36
species,1
people,38
planets,9
planets,44
people,3
people,19
planets,53
people,57
people,23
planets,12
people,30
people,41
planets,9
people,47
planets,23
people,10
people,15
planets,20
people,52
planets,21
people,9
people,32
people,16
planets,26
people,49
people,57
species,1
planets,9
people,78
people,25
people,48
planets,26
people,75
people,10
people,40
people,50
planets,40
people,80
planets,33
planets,44
planets,52
planets,26
planets,41
people,53
people,74
people,72
people,32
planets,4
people,69
planets,30
people,39
planets,58
people,16
planets,17
people,30
planets,4
planets,57
people,79
people,18
people,65
people,80
people,18
planets,60
people,29
people,4
people,50
species,2
people,54
planets,22
people,7
people,69
people,60
people,29
planets,29
planets,54
people,70
people,46
people,30
planets,51
planets,40
people,8
people,18
planets,13
people,38
people,26
planets,32
people,65
planets,26
people,20
people,47
people,21
people,71
people,48
planets,39
planets,7
planets,15
people,43
planets,24
people,43
people,34
planets,8
people,11
people,48
planets,52
people,78
people,66
people,30
people,49
people,59
people,43
planets,46
people,81
planets,57
people,10
planets,7
people,41
planets,60
planets,23
planets,48
people,40
people,69
planets,41
planets,34
planets,42
planets,45
people,20
people,76
people,24
people,15
people,6
people,14
people,79
planets,44
people,26
people,72
planets,6
people,5
people,38
people,69
planets,48
planets,8
species,2
planets,54
planets,39
people,40
planets,5
people,35
planets,32
people,58
people,3
people,18
planets,51
people,30
planets,41
people,44
people,78
people,51
planets,17
people,20
people,83
people,76
planets,53
people,72
people,48
people,60
people,35
planets,41
planets,50
planets,55
people,34
species,4
planets,5
people,3
species,1
planets,13
people,39
planets,24
people,22
planets,1
people,58
people,70
planets,36
people,6
people,57
species,1
people,2
planets,36
people,47
planets,13
people,70
planets,46
planets,20
planets,43
people,73
people,54
people,51
people,10
people,68
planets,10
planets,57
people,28
people,42
people,7
people,55
people,80
planets,43
people,43
planets,5
planets,57
people,81
planets,33
people,33
planets,55
people,38
planets,53
planets,32
planets,39
people,28
planets,8
people,29
planets,38
planets,54
planets,16
people,55
people,13
planets,51
people,30
planets,39
planets,28
people,51
people,43
planets,40
people,16
people,31
people,36
planets,19
people,39
species,2
people,58
people,63
people,82
planets,2
planets,59
planets,21
people,29
planets,36
planets,35
people,76
people,33
planets,40
people,53
planets,3
species,3
people,78
planets,16
people,52
planets,47
people,2
planets,25
planets,55
people,7
people,65
planets,53
people,12
people,16
people,60
people,77
planets,5
planets,13
people,26
people,49
people,79
people,60
planets,35
planets,47
people,81
planets,13
people,68
planets,18
planets,1
people,77
planets,8
people,40
people,60
planets,58
planets,9
planets,58
people,3
planets,32
planets,42
people,46
planets,29
planets,57
people,1
people,21
planets,46
people,82
planets,13
planets,37
planets,25
planets,55
planets,23
planets,40
people,36
planets,50
people,73
planets,60
planets,18
people,51
people,39
people,8
people,81
people,8
planets,32
people,6
planets,45
planets,30
people,38
species,2
people,2
species,4
planets,40
people,78
people,77
people,14
people,24
planets,10
people,32
species,4
species,4
people,21
planets,33
planets,46
planets,57
planets,3
people,25
planets,23
people,54
people,44
planets,18
people,22
planets,44
people,54
planets,7
people,57
people,22
people,6
planets,5
people,4
people,49
planets,53
planets,15
planets,28
people,64
people,60
planets,29
people,73
planets,22
species,4
people,78
people,9
planets,17
planets,8
people,66
planets,42
people,30
people,77
planets,28
people,3
planets,60
planets,36
species,3
people,6
people,27
planets,55
planets,35
planets,37
planets,50
planets,51
people,37
species,1
people,15
planets,21
planets,59
planets,7
planets,13
people,3
people,15
planets,50
planets,9
planets,20
planets,13
planets,31
people,10
people,74
planets,39
planets,3
planets,46
people,39
planets,55
planets,23
planets,51
people,76
people,40
people,20
planets,12
planets,5
people,29
people,23
planets,29
people,21
people,6
planets,2
planets,14
people,79
planets,1
people,34
people,1
planets,18
people,58
planets,59
people,12
people,21
planets,59
people,37
species,2
people,76
people,24
planets,6
people,13
people,14
people,82
people,72
planets,26
people,44
planets,22
planets,2
planets,34
planets,50
planets,59
people,35
people,46
people,77
planets,49
planets,54
planets,13
people,81
people,43
planets,26
planets,48
people,83
planets,49
planets,42
people,54
planets,41
people,57
people,14
people,73
people,41
people,22
people,40
planets,15
planets,40
planets,14
people,44
people,78
planets,40
people,35
people,37
people,66
planets,39
planets,13
planets,38
planets,15
planets,22
people,18
planets,48
planets,35
people,45
planets,37
people,8
people,10
people,38
people,21
people,21
people,49
planets,12
planets,18
people,15
planets,19
people,54
people,55
planets,53
people,75
planets,11
planets,10
planets,46
planets,27
planets,28
planets,10
people,74
people,63
planets,30
people,42
people,19
planets,30
people,38
planets,5
planets,16
planets,25
planets,19
people,55
people,40
people,47
planets,23
people,74
people,14
people,6
people,49
people,51
people,64
people,18
planets,33
people,33
planets,32
planets,15
planets,42
planets,39
planets,10
people,6
people,64
planets,43
people,70
people,62
people,45
people,63
planets,23
planets,38
planets,58
planets,3
people,7
planets,54
planets,6
people,82
people,27
planets,30
people,40
planets,59
people,47
planets,22
planets,46
species,3
people,38
planets,46
people,51
planets,37
people,47
planets,17
planets,58
planets,4
species,1
planets,15
planets,53
people,38
planets,7
people,30
people,63
planets,9
people,53
planets,22
people,22
planets,55
planets,21
planets,23
people,58
planets,32
people,24
people,10
planets,39
species,4
planets,46
people,60
planets,52
people,36
people,77
planets,33
planets,48
people,7
people,33
people,54
people,15
planets,28
planets,4
planets,2
planets,41
planets,60
people,66
people,62
planets,60
people,5
planets,30
people,9
people,55
planets,42
people,82
people,68
people,64
planets,57
people,38
people,13
people,66
people,6
people,6
planets,50
planets,47
people,80
planets,8
planets,51
people,70
planets,54
people,45
planets,10
people,1
people,9
people,75
people,64
people,28
planets,29
people,69
people,63
planets,34
people,32
people,26
people,5
people,25
species,2
planets,56
planets,14
people,10
people,2
people,35
planets,2
people,15
planets,50
planets,14
people,26
people,40
planets,46
people,40
people,77
planets,12
planets,25
planets,60
people,3
people,13
people,22
people,58
people,80
people,38
people,23
planets,42
people,27
planets,49
people,15
people,3
people,14
planets,8
people,73
planets,25
people,71
people,44
planets,43
people,19
people,14
planets,15
species,1
planets,55
people,31
planets,60
people,54
planets,47
planets,43
people,36
people,66
people,73
people,28
people,80
people,34
people,32
people,41
planets,48
people,29
people,2
planets,29
people,31
people,38
planets,26
planets,39
planets,50
people,51
people,12
people,72
people,57
people,22
people,20
people,28
planets,33
people,50
planets,55
planets,16
people,28
people,44
people,59
people,13
people,16
people,53
planets,43
people,4
people,15
planets,6
planets,15
planets,22
people,3
planets,10
people,55
planets,7
planets,12
people,19
people,79
planets,18
people,52
planets,3
people,9
people,43
planets,3
planets,57
planets,52
planets,30
people,62
planets,5
people,68
planets,52
people,76
people,43
people,31
people,66
planets,35
people,23
people,15
people,30
planets,39
people,6
people,79
planets,59
planets,39
people,81
planets,15
planets,15
planets,60
people,72
people,30
people,42
planets,39
people,61
people,43
planets,43
planets,59
people,59
planets,12
planets,7
planets,12
people,22
planets,12
people,34
people,5
people,46
planets,22
planets,36
people,70
planets,13
people,76
people,24
people,11
people,69
people,35
people,56
people,51
people,25
planets,58
planets,55
people,21
people,49
planets,60
planets,14
planets,29
people,21
planets,50
planets,21
planets,56
planets,57
people,77
people,39
people,32
people,31
people,59
planets,58
species,1
people,18
people,18
people,44
planets,18
people,58
people,6
planets,33
planets,36
people,82
people,26
people,2
planets,31
people,31
people,8
people,4
people,60
planets,43
people,64
planets,41
people,49
people,26
people,26
people,46
people,54
planets,40
planets,39
people,28
people,47
people,25
people,73
people,21
planets,59
people,38
people,60
people,62
planets,40
people,82
people,67
planets,21
people,30
people,32
planets,31
planets,46
planets,19
planets,9
planets,47
people,63
people,80
people,30
people,11
people,66
planets,50
planets,5
people,80
planets,36
species,1
planets,56
people,68
people,52
planets,2
people,73
people,18
people,8
people,6
people,66
planets,1
planets,44
species,3
planets,29
planets,56
planets,6
people,76
planets,47
planets,24
planets,47
planets,26
people,39
planets,19
planets,17
people,42
planets,30
planets,30
planets,46
species,1
people,63
people,63
people,42
people,73
planets,35
people,18
people,72
planets,46
people,2
people,11
planets,41
people,1
people,72
planets,13
people,22
people,25
people,81
planets,37
planets,32
people,79
planets,34
planets,23
planets,24
people,44
planets,21
people,7
planets,21
people,30
species,4
species,1
people,44
people,55
planets,52
people,44
planets,4
planets,31
people,23
planets,23
planets,4
people,20
planets,10
people,25
people,45
planets,36
people,36
planets,30
planets,48
people,26
people,51
people,21
people,15
planets,54
planets,56
people,18
planets,2
planets,10
people,80
people,24
people,55
people,81
planets,43
people,7
people,78
planets,34
people,8
people,58
planets,10
planets,35
planets,58
people,45
species,4
people,61
planets,14
planets,46
people,65
planets,9
planets,36
planets,57
people,82
planets,39
planets,7
people,39
people,34
planets,36
people,44
people,1
planets,58
planets,17
planets,2
people,41
planets,44
people,66
people,5
planets,40
planets,27
people,28
people,57
people,40
planets,16
people,37
planets,9
people,11
people,20
people,40
people,60
people,21
people,12
people,47
planets,45
people,5
people,14
people,22
people,36
people,74
planets,31
people,56
planets,22
planets,58
people,22
people,71
planets,4
people,15
planets,47
people,79
people,76
people,21
people,14
planets,11
planets,28
planets,45
species,3
people,75
people,24
planets,3
people,16
people,23
planets,12
planets,13
people,35
planets,50
planets,4
people,76
people,83
planets,23
people,7
planets,16
planets,39
people,59
planets,8
planets,38
people,30
people,37
planets,14
planets,45
people,63
planets,54
people,78
planets,15
people,65
people,83
people,54
planets,34
planets,44
people,67
planets,43
planets,29
planets,47
planets,36
planets,7
planets,22
planets,51
planets,19
planets,47
planets,30
people,77
planets,31
planets,27
planets,52
people,81
people,80
species,2
people,58
people,24
planets,15
planets,16
people,39
species,1
people,3
people,76
planets,1
planets,54
people,49
planets,27
planets,59
people,54
people,36
people,69
planets,4
people,55
species,2
planets,39
planets,53
planets,49
people,39
planets,33
planets,28
planets,1
people,2
planets,4
people,42
people,67
planets,45
people,4
planets,48
people,39
people,41
people,57
people,67
planets,56
people,83
people,12
planets,55
planets,2
people,54
planets,47
people,63
planets,55
people,81
planets,60
people,29
planets,27
planets,23
people,19
planets,51
people,29
people,71
planets,22
people,56
people,1
planets,20
planets,3
people,74
planets,14
people,29
people,49
people,27
people,47
people,78
planets,29
planets,12
